,Year,Laureate,Country,Rationale
190,2009,Charles K. Kao (1933–2018),Hong Kong,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication"""
98,1971,Dennis Gabor (1900–1979),Hungary,"""for his invention and development of the holographic method"""
83,1963,Eugene Paul Wigner (1902–1995),Hungary,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"""
36,1930,Chandrasekhara Venkata Raman (1888–1970),India,"""for his work on the scattering of light and for the discovery of the effect named after him"""
127,1983,Subrahmanyan Chandrasekhar (1910–1995),India,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"""
61,1951,Ernest Thomas Sinton Walton (1903–1995),Ireland,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"""
129,1984,Carlo Rubbia (b. 1934),Italy,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"""
224,2021,Giorgio Parisi (b. 1948),Italy,"""for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales"""
77,1959,Emilio Gino Segrè (1905–1989),Italy,"""for their discovery of the antiproton"""
173,2002,Riccardo Giacconi (1931–2018),Italy,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"""
58,1949,Hideki Yukawa (1907–1981),Japan,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"""
91,1965,Shin'ichirō Tomonaga (1906–1979),Japan,"""for their fundamental work in quantum electrodynamics (QED), with deep-ploughing consequences for the physics of elementary particles"""
102,1973,Leo Esaki (b. 1925),Japan,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"""
172,2002,Masatoshi Koshiba (1926–2020),Japan,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
187,2008,Makoto Kobayashi (b. 1944),Japan,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
188,2008,Toshihide Maskawa (1940–2021),Japan,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
202,2014,Isamu Akasaki (1929–2021),Japan,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
203,2014,Hiroshi Amano (b. 1960),Japan,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
205,2015,Takaaki Kajita (b. 1959),Japan,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass"""
189,2008,Yoichiro Nambu (1921–2015),Japan,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics"""
204,2014,Shuji Nakamura (b. 1954),Japan,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
222,2021,Syukuro Manabe (b. 1931),Japan,"""for the physical modelling of Earth's climate, quantifying variability and reliably predicting global warming"""
11,1909,Guglielmo Marconi (1874–1937),Italy,"""for their contributions to the development of wireless telegraphy"""
47,1938,Enrico Fermi (1901–1954),Italy,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons"""
1,1902,Hendrik Lorentz (1853–1928),Netherlands,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
2,1902,Pieter Zeeman (1865–1943),Netherlands,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
13,1910,Johannes Diderik van der Waals (1837–1923),Netherlands,"""for his work on the equation of state for gases and liquids"""
16,1913,Heike Kamerlingh-Onnes (1853–1926),Netherlands,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"""
64,1953,Frits Zernike (1888–1966),Netherlands,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope"""
130,1984,Simon van der Meer (1925–2011),Netherlands,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"""
163,1999,Gerard 't Hooft (b. 1946),Netherlands,"""for elucidating the quantum structure of electroweak interactions in physics"""
164,1999,Martinus J. G. Veltman (1931–2021),Netherlands,"""for elucidating the quantum structure of electroweak interactions in physics"""
123,1981,Nicolaas Bloembergen (1920–2017),Netherlands,"""for their contribution to the development of laser spectroscopy"""
119,1979,Abdus Salam (1926–1996),Pakistan,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
5,1903,Marie Skłodowska-Curie (1867–1934),Poland,"""for their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
72,1957,Tsung-Dao Lee (b. 1926),Republic of China,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"""
73,1957,Chen-Ning Yang (b. 1922),Republic of China,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"""
110,1976,Samuel Chao Chung Ting (b. 1936),Republic of China,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind"""
162,1998,Daniel Chee Tsui (b. 1939),Republic of China,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
165,2000,Zhores Ivanovich Alferov (1930–2019),Russia,"""for developing semiconductor heterostructures used in high-speed- and optoelectronics"""
175,2003,Vitaly Lazarevich Ginzburg (1916–2009),Russia,"""for pioneering contributions to the theory of superconductors and superfluids"""
194,2010,Konstantin Novoselov (b. 1974),Russia,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
193,2010,Andre Geim (b. 1958),Russia,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
174,2003,Alexei Alexeyevich Abrikosov (1928–2017),Russia,"""for pioneering contributions to the theory of superconductors and superfluids"""
74,1958,Pavel Alekseyevich Cherenkov (1904–1990),Soviet Union,"""for the discovery and the interpretation of the Cherenkov effect"""
75,1958,Ilya Frank (1908–1990),Soviet Union,"""for the discovery and the interpretation of the Cherenkov effect"""
76,1958,Igor Yevgenyevich Tamm (1895–1971),Soviet Union,"""for the discovery and the interpretation of the Cherenkov effect"""
82,1962,Lev Davidovich Landau (1908–1968),Soviet Union,"""for his pioneering theories for condensed matter, especially liquid helium"""
86,1964,Nicolay Gennadiyevich Basov (1922–2001),Soviet Union,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser–laser principle"""
87,1964,Alexander Prokhorov (1916–2002),Soviet Union,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser–laser principle"""
115,1978,Pyotr Leonidovich Kapitsa (1894–1984),Soviet Union,"""for his basic inventions and discoveries in the area of low-temperature physics"""
15,1912,Nils Gustaf Dalén (1869–1937),Sweden,"""for his invention of automatic valves designed to be used in combination with gas accumulators in lighthouses and buoys"""
28,1924,Manne Siegbahn (1886–1978),Sweden,"""for his discoveries and research in the field of X-ray spectroscopy"""
96,1970,Hannes Olof Gösta Alfvén (1908–1995),Sweden,"""for fundamental work and discoveries in magneto-hydrodynamics with fruitful applications in different parts of plasma physics"""
125,1981,Kai Manne Börje Siegbahn (1918–2007),Sweden,"""for his contribution to the development of high-resolution electron spectroscopy"""
24,1920,Charles Édouard Guillaume (1861–1938),Switzerland,"""for the service he has rendered to precision measurements in physics by his discovery of anomalies in nickel-steel alloys"""
134,1986,Heinrich Rohrer (1933–2013),Switzerland,"""for their design of the scanning tunneling microscope"""
136,1987,Karl Alexander Müller (b. 1927),Switzerland,"""for their important break-through in the discovery of superconductivity in ceramic materials"""
217,2019,Michel Mayor (b. 1942),Switzerland,"""for the discovery of an exoplanet orbiting a solar-type star"""
218,2019,Didier Queloz (b. 1966),Switzerland,"""for the discovery of an exoplanet orbiting a solar-type star"""
62,1952,Felix Bloch (1905–1983),Switzerland,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"""
6,1904,Lord Rayleigh (1842–1919),United Kingdom,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies"""
8,1906,Joseph John Thomson (1856–1940),United Kingdom,"""for his theoretical and experimental investigations on the conduction of electricity by gases"""
18,1915,William Henry Bragg (1862–1942),United Kingdom,"""'For their services in the analysis of crystal structure by means of X-rays', an important step in the development of X-ray crystallography"""
21,1917,Charles Glover Barkla (1877–1944),United Kingdom,"""'For his discovery of the characteristic Röntgen radiation of the elements', another important step in the development of X-ray spectroscopy"""
33,1927,Charles Thomson Rees Wilson (1869–1959),United Kingdom,"""for his method of making the paths of electrically charged particles visible by condensation of vapour"""
34,1928,Owen Willans Richardson (1879–1959),United Kingdom,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him"""
40,1933,Paul Dirac (1902–1984),United Kingdom,"""for the discovery of new productive forms of atomic theory"""
42,1935,James Chadwick (1891–1974),United Kingdom,"""for the discovery of the neutron"""
46,1937,George Paget Thomson (1892–1975),United Kingdom,"""for their experimental discovery of the diffraction of electrons by crystals"""
56,1947,Edward Victor Appleton (1892–1965),United Kingdom,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer"""
57,1948,Patrick Maynard Stuart Blackett (1897–1974),United Kingdom,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation"""
59,1950,Cecil Frank Powell (1903–1969),United Kingdom,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method"""
60,1951,John Douglas Cockcroft (1897–1967),United Kingdom,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"""
104,1973,Brian David Josephson (b. 1940),United Kingdom,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effect"""
105,1974,Martin Ryle (1918–1984),United Kingdom,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"""
106,1974,Antony Hewish (1924–2021),United Kingdom,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"""
113,1977,Nevill Francis Mott (1905–1996),United Kingdom,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
201,2013,Peter Higgs (b. 1929),United Kingdom,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"""
207,2016,David J. Thouless (1934–2019),United Kingdom,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
219,2020,Roger Penrose (b. 1931),United Kingdom,"""for the discovery that black hole formation is a robust prediction of the general theory of relativity"""
208,2016,F. Duncan M. Haldane (b. 1951),United Kingdom,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
176,2003,Anthony James Leggett (b. 1938),United Kingdom,"""for pioneering contributions to the theory of superconductors and superfluids"""
209,2016,John M. Kosterlitz (b. 1943),United Kingdom,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
27,1923,Robert Andrews Millikan (1868–1953),United States,"""for his work on the elementary charge of electricity and on the photoelectric effect"""
32,1927,Arthur Holly Compton (1892–1962),United States,"""for his discovery of the effect named after him"""
44,1936,Carl David Anderson (1905–1991),United States,"""for his discovery of the positron"""
45,1937,Clinton Joseph Davisson (1881–1958),United States,"""for their experimental discovery of the diffraction of electrons by crystals"""
48,1939,Ernest Lawrence (1901–1958),United States,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements"""
55,1946,Percy Williams Bridgman (1882–1961),United States,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made there within the field of high pressure physics"""
63,1952,Edward Mills Purcell (1912–1997),United States,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"""
67,1955,Willis Eugene Lamb (1913–2008),United States,"""for his discoveries concerning the fine structure of the hydrogen spectrum"""
68,1955,Polykarp Kusch (1911–1993),United States,"""for his precision determination of the magnetic moment of the electron"""
69,1956,John Bardeen (1908–1991),United States,"""for their researches on semiconductors and their discovery of the transistor effect"""
70,1956,Walter Houser Brattain (1902–1987),United States,"""for their researches on semiconductors and their discovery of the transistor effect"""
71,1956,William Bradford Shockley (1910–1989),United States,"""for their researches on semiconductors and their discovery of the transistor effect"""
78,1959,Owen Chamberlain (1920–2006),United States,"""for their discovery of the antiproton"""
79,1960,Donald Arthur Glaser (1926–2013),United States,"""for the invention of the bubble chamber"""
80,1961,Robert Hofstadter (1915–1990),United States,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"""
88,1964,Charles Hard Townes (1915–2015),United States,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser–laser principle"""
89,1965,Richard Phillips Feynman (1918–1988),United States,"""for their fundamental work in quantum electrodynamics (QED), with deep-ploughing consequences for the physics of elementary particles"""
90,1965,Julian Schwinger (1918–1994),United States,"""for their fundamental work in quantum electrodynamics (QED), with deep-ploughing consequences for the physics of elementary particles"""
94,1968,Luis Walter Alvarez (1911–1988),United States,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"""
95,1969,Murray Gell-Mann (1929–2019),United States,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions"""
99,1972,John Bardeen (1908–1991),United States,"""for their jointly developed theory of superconductivity, usually called the BCS-theory"""
100,1972,Leon Neil Cooper (b. 1930),United States,"""for their jointly developed theory of superconductivity, usually called the BCS-theory"""
101,1972,John Robert Schrieffer (1931–2019),United States,"""for their jointly developed theory of superconductivity, usually called the BCS-theory"""
109,1975,Leo James Rainwater (1917–1986),United States,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
111,1976,Burton Richter (1931–2018),United States,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind"""
112,1977,Philip Warren Anderson (1923–2020),United States,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
114,1977,John Hasbrouck Van Vleck (1899–1980),United States,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
116,1978,Arno Allan Penzias (b. 1933),United States,"""for their discovery of cosmic microwave background radiation"""
117,1978,Robert Woodrow Wilson (b. 1936),United States,"""for their discovery of cosmic microwave background radiation"""
118,1979,Sheldon Glashow (b. 1932),United States,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
120,1979,Steven Weinberg (1933–2021),United States,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
121,1980,James Watson Cronin (1931–2016),United States,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
122,1980,Val Logsdon Fitch (1923–2015),United States,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
124,1981,Arthur Leonard Schawlow (1921–1999),United States,"""for their contribution to the development of laser spectroscopy"""
126,1982,Kenneth G. Wilson (1936–2013),United States,"""for his theory for critical phenomena in connection with phase transitions"""
128,1983,William Alfred Fowler (1911–1995),United States,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe"""
137,1988,Leon Max Lederman (1922–2018),United States,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
138,1988,Melvin Schwartz (1932–2006),United States,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
139,1988,Jack Steinberger (1921–2020),United States,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
140,1989,Norman Foster Ramsey (1915–2011),United States,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"""
143,1990,Jerome I. Friedman (b. 1930),United States,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
144,1990,Henry Way Kendall (1926–1999),United States,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
148,1993,Russell Alan Hulse (b. 1950),United States,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"""
149,1993,Joseph Hooton Taylor Jr. (b. 1941),United States,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"""
151,1994,Clifford Glenwood Shull (1915–2001),United States,"""for the development of the neutron diffraction technique"" and ""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter"""
152,1995,Martin Lewis Perl (1927–2014),United States,"""for the discovery of the tau lepton"" and ""for pioneering experimental contributions to lepton physics"""
153,1995,Frederick Reines (1918–1998),United States,"""for the detection of the neutrino"" and ""for pioneering experimental contributions to lepton physics"""
154,1996,David Morris Lee (b. 1931),United States,"""for their discovery of superfluidity in helium-3"""
155,1996,Douglas D. Osheroff (b. 1945),United States,"""for their discovery of superfluidity in helium-3"""
156,1996,Robert Coleman Richardson (1937–2013),United States,"""for their discovery of superfluidity in helium-3"""
157,1997,Steven Chu (b. 1948),United States,"""for development of methods to cool and trap atoms with laser light."""
159,1997,William Daniel Phillips (b. 1948),United States,"""for development of methods to cool and trap atoms with laser light."""
160,1998,Robert B. Laughlin (b. 1950),United States,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
167,2000,Jack St. Clair Kilby (1923–2005),United States,"""for his part in the invention of the integrated circuit"""
168,2001,Eric Allin Cornell (b. 1961),United States,"""for the achievement of Bose–Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
169,2001,Carl Edwin Wieman (b. 1951),United States,"""for the achievement of Bose–Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
171,2002,Raymond Davis Jr. (1914–2006),United States,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
177,2004,David J. Gross (b. 1941),United States,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
178,2004,Hugh David Politzer (b. 1949),United States,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
179,2004,Frank Wilczek (p. 1951),United States,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
180,2005,Roy J. Glauber (1925–2018),United States,"""for his contribution to the quantum theory of optical coherence"""
181,2005,John L. Hall (b. 1934),United States,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
183,2006,John C. Mather (b. 1946),United States,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
184,2006,George F. Smoot (b. 1945),United States,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
192,2009,George E. Smith (b. 1930),United States,"""for the invention of an imaging semiconductor circuit – the CCD sensor"""
195,2011,Saul Perlmutter (b. 1959),United States,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
197,2011,Adam G. Riess (b. 1969),United States,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
199,2012,David J. Wineland (b. 1944),United States,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems."""
211,2017,Kip Thorne (b. 1940),United States,"""for decisive contributions to the LIGO detector and the observation of gravitational waves"""
212,2017,Barry Barish (b. 1936),United States,"""for decisive contributions to the LIGO detector and the observation of gravitational waves"""
213,2018,Arthur Ashkin (1922–2020),United States,"""for groundbreaking inventions in the field of laser physics"", in particular ""for the optical tweezers and their application to biological systems"""
221,2020,Andrea Ghez (b. 1965),United States,"""for the discovery of a supermassive compact object at the centre of our galaxy"""
226,2022,John Clauser (b. 1942),United States,"""for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science"""
103,1973,Ivar Giaever (b. 1929),United States,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"""
53,1944,Isidor Isaac Rabi (1898–1988),United States,"""for his resonance method for recording the magnetic properties of atomic nuclei"""
52,1943,Otto Stern (1888–1969),United States,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton"""
93,1967,Hans Albrecht Bethe (1906–2005),United States,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"""
141,1989,Hans Georg Dehmelt (1922–2017),United States,"""for the development of the ion trap technique"""
23,1919,Johannes Stark (1874–1957),Weimar Republic,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields"""
29,1925,James Franck (1882–1964),Weimar Republic,"""for their discovery of the laws governing the impact of an electron upon an atom"""
30,1925,Gustav Hertz (1887–1975),Weimar Republic,"""for their discovery of the laws governing the impact of an electron upon an atom"""
38,1932,Werner Heisenberg (1901–1976),Weimar Republic,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"""
25,1921,Albert Einstein (1879–1955),Weimar Republic,"""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"""
65,1954,Max Born (1882–1970),Germany,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction"""
66,1954,Walther Bothe (1891–1957),Germany,"""for the coincidence method and his discoveries made therewith"""
81,1961,Rudolf Ludwig Mössbauer (1929–2011),Germany,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"""
85,1963,J. Hans D. Jensen (1907–1973),Germany,"""for their discoveries concerning nuclear shell structure"""
131,1985,Klaus von Klitzing (b. 1943),Germany,"""for the discovery of the quantized Hall effect"""
132,1986,Ernst Ruska (1906–1988),Germany,"""for his fundamental work in electron optics, and for the design of the first electron microscope"""
133,1986,Gerd Binnig (b. 1947),Germany,"""for their design of the scanning tunneling microscope"""
135,1987,Johannes Georg Bednorz (b. 1950),Germany,"""for their important break-through in the discovery of superconductivity in ceramic materials"""
142,1989,Wolfgang Paul (1913–1993),Germany,"""for the development of the ion trap technique"""
