,Year,Laureate,Country,Rationale
4,1905,Adolf von Baeyer (1835-1917),Germany,"""[for] the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"""
6,1907,Eduard Buchner (1860-1917),Germany,"""for his biochemical researches and his discovery of cell-free fermentation"""
8,1909,Wilhelm Ostwald (1853-1932),Germany,"""[for] his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction"""
9,1910,Otto Wallach (1847-1931),Germany,"""[for] his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds"""
15,1915,Richard Martin Willstätter (1872-1942),Germany,"""for his researches on plant pigments, especially chlorophyll"""
18,1918,Fritz Haber (1868-1934),Germany,"""for the synthesis of ammonia from its elements"""
20,1920,Walther Hermann Nernst (1864-1941),Germany,"""[for] his work in thermochemistry"""
27,1927,Heinrich Otto Wieland (1877-1957),Germany,"""for his investigations of the constitution of the bile acids and related substances"""
28,1928,Adolf Otto Reinhold Windaus (1876-1959),Germany,"""[for] his research into the constitution of the sterols and their connection with the vitamins"""
31,1930,Hans Fischer (1881-1945),Germany,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin"""
32,1931,Carl Bosch (1874-1940),Germany,"""[for] their contributions to the invention and development of chemical high pressure methods"""
33,1931,Friedrich Bergius (1884-1949),Germany,"""[for] their contributions to the invention and development of chemical high pressure methods"""
42,1938,Richard Kuhn (1900-1967),Germany,"""for his work on carotenoids and vitamins"""
43,1939,Adolf Friedrich Johann Butenandt (1903-1995),Germany,"""for his work on sex hormones"""
49,1944,Otto Hahn (1879-1968),Germany,"""for his discovery of the fission of heavy nuclei"""
158,2007,Gerhard Ertl (b. 1936),Germany,"""for his studies of chemical processes on solid surfaces"""
194,2021,Benjamin List (b. 1968),Germany,"""for the development of asymmetric organocatalysis"""
25,1925,Richard Adolf Zsigmondy (1865-1929),Germany,"""for his demonstration of the heterogeneous nature of colloid solutions and for the methods he used"""
175,2014,Stefan W. Hell (b. 1962),Germany,"""for the development of super-resolved fluorescence microscopy"""
184,2017,Joachim Frank (b. 1940),Germany,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"""
48,1943,George de Hevesy (1885-1966),Hungary,"""for his work on the use of isotopes as tracers in the study of chemical processes"""
151,2004,Aaron Ciechanover (b. 1947),Israel,"""for the discovery of ubiquitin-mediated protein degradation"""
152,2004,Avram Hershko (b. 1937),Israel,"""for the discovery of ubiquitin-mediated protein degradation"""
164,2009,Ada E. Yonath (b. 1939),Israel,"""for studies of the structure and function of the ribosome"""
168,2011,Dan Shechtman (b. 1941),Israel,"""for the discovery of quasicrystals"""
76,1963,Giulio Natta (1903-1979),Italy,"""for their discoveries in the field of the chemistry and technology of high polymers"""
104,1981,Kenichi Fukui (1918-1998),Japan,"""for their theories, developed independently, concerning the course of chemical reactions"""
142,2000,Hideki Shirakawa (b. 1936),Japan,"""for their discovery and development of conductive polymers"""
144,2001,Ryōji Noyori (b. 1938),Japan,"""for their work on chirally catalysed hydrogenation reactions"""
147,2002,Koichi Tanaka (b. 1959),Japan,"""for the development of methods for identification and structure analyses of biological macromolecules [...] for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"""
166,2010,Ei-ichi Negishi (1935-2021),Japan,"""for palladium-catalyzed cross couplings in organic synthesis"""
167,2010,Akira Suzuki (b. 1930),Japan,"""for palladium-catalyzed cross couplings in organic synthesis"""
191,2019,Akira Yoshino (b. 1948),Japan,"""for the development of lithium ion batteries"""
159,2008,Osamu Shimomura (1928-2018),Japan,"""for the discovery and development of the green fluorescent protein, GFP"""
44,1939,Leopold Ružička (1887-1976),Yugoslavia,"""for his work on polymethylenes and higher terpenes"""
129,1995,Mario J. Molina (1943-2020),Mexico,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"""
0,1901,Jacobus Henricus van 't Hoff (1852-1911),Netherlands,"""[for his] discovery of the laws of chemical dynamics and osmotic pressure in solutions"""
39,1936,Peter Debye (1884-1966),Netherlands,"""[for his work on] molecular structure through his investigations on dipole moments and the diffraction of X-rays and electrons in gases"""
128,1995,Paul J. Crutzen (1933-2021),Netherlands,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"""
182,2016,Ben Feringa (b. 1951),Netherlands,"""for the design and synthesis of molecular machines"""
85,1969,Odd Hassel (1897-1981),Norway,"""for their contributions to the development of the concept of conformation and its application in chemistry"""
10,1911,"Marie Curie, née Skłodowska (1867-1934)",Poland,"""[for] the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"""
67,1956,Nikolay Nikolaevich Semenov (1896-1986),Soviet Union,"""for their researches into the mechanism of chemical reactions"""
2,1903,Svante August Arrhenius (1859-1927),Sweden,"""[for] his electrolytic theory of dissociation"""
26,1926,The (Theodor) Svedberg (1884-1971),Sweden,"""for his work on disperse systems"""
55,1948,Arne Wilhelm Kaurin Tiselius (1902-1971),Sweden,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins"""
30,1929,Hans Karl August Simon von Euler-Chelpin(1873-1964),Sweden,"""for their investigations on the fermentation of sugar and fermentative enzymes"""
177,2015,Tomas Lindahl (b. 1938),Sweden,"""for mechanistic studies of DNA repair"""
13,1913,Alfred Werner (1866-1919),Switzerland,"""[for] his work on the linkage of atoms in molecules [...] especially in inorganic chemistry"""
41,1937,Paul Karrer (1889-1971),Switzerland,"""for his investigations on carotenoids, flavins and vitamins A and B2"""
123,1991,Richard R. Ernst (1933-2021),Switzerland,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy"""
148,2002,Kurt Wüthrich (b. 1938),Switzerland,"""for the development of methods for identification and structure analyses of biological macromolecules [...] for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution"""
183,2017,Jacques Dubochet (b. 1942),Switzerland,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"""
3,1904,Sir William Ramsay (1852-1916),United Kingdom,"""[for his] discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"""
21,1921,Frederick Soddy (1877-1956),United Kingdom,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"""
22,1922,Francis William Aston (1877-1945),United Kingdom,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"""
29,1929,Arthur Harden (1865-1940),United Kingdom,"""for their investigations on the fermentation of sugar and fermentative enzymes"""
40,1937,Walter Norman Haworth (1883-1950),United Kingdom,"""for his investigations on carbohydrates and vitamin C"""
54,1947,Sir Robert Robinson (1886-1975),United Kingdom,"""for his investigations on plant products of biological importance, especially the alkaloids"""
61,1952,Archer John Porter Martin (1910-2002),United Kingdom,"""for their invention of partition chromatography"""
62,1952,Richard Laurence Millington Synge (1914-1994),United Kingdom,"""for their invention of partition chromatography"""
66,1956,Sir Cyril Norman Hinshelwood (1897-1967),United Kingdom,"""for their researches into the mechanism of chemical reactions"""
68,1957,Lord (Alexander R.) Todd (1907-1997),United Kingdom,"""for his work on nucleotides and nucleotide co-enzymes"""
69,1958,Frederick Sanger (1918-2013),United Kingdom,"""for his work on the structure of proteins, especially that of insulin"""
73,1962,Max Ferdinand Perutz (1914-2002),United Kingdom,"""for their studies of the structures of globular proteins"""
74,1962,John Cowdery Kendrew (1917-1997),United Kingdom,"""for their studies of the structures of globular proteins"""
77,1964,Dorothy Crowfoot Hodgkin (1910-1994),United Kingdom,"""for her determinations by X-ray techniques of the structures of important biochemical substances"""
81,1967,Ronald George Wreyford Norrish (1897-1978),United Kingdom,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
82,1967,George Porter (1920-2002),United Kingdom,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
84,1969,Derek H. R. Barton (1918-1998),United Kingdom,"""for their contributions to the development of the concept of conformation and its application in chemistry"""
92,1973,Geoffrey Wilkinson (1921-1996),United Kingdom,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"""
98,1978,Peter D. Mitchell (1920-1992),United Kingdom,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory"""
103,1980,Frederick Sanger (1918-2013),United Kingdom,"""for their contributions concerning the determination of base sequences in nucleic acids"""
106,1982,Aaron Klug (1926-2018),United Kingdom,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"""
132,1996,Sir Harold W. Kroto (1939-2016),United Kingdom,"""for their discovery of fullerenes"""
135,1997,John E. Walker (b. 1941),United Kingdom,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"""
138,1998,John A. Pople(1925-2004),United Kingdom,"""for his development of computational methods in quantum chemistry"""
185,2017,Richard Henderson (b. 1945),United Kingdom,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"""
188,2018,Sir Gregory Winter (b. 1951),United Kingdom,"""for the phage display of peptides and antibodies"""
7,1908,Ernest Rutherford (1871-1937),United Kingdom,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"""
181,2016,Fraser Stoddart (b. 1942),United Kingdom,"""for the design and synthesis of molecular machines"""
190,2019,M. Stanley Whittingham (b. 1941),United Kingdom,"""for the development of lithium ion batteries"""
195,2021,David W.C. MacMillan (b. 1968),United Kingdom,"""for the development of asymmetric organocatalysis"""
14,1914,Theodore William Richards (1868-1928),United States,"""[for] his accurate determinations of the atomic weight of a large number of chemical elements"""
34,1932,Irving Langmuir (1881-1957),United States,"""for his discoveries and investigations in surface chemistry"""
36,1934,Harold Clayton Urey (1893-1981),United States,"""for his discovery of heavy hydrogen"""
51,1946,James Batcheller Sumner (1887-1955),United States,"""for his discovery that enzymes can be crystallized"""
52,1946,John Howard Northrop (1891-1987),United States,"""for their preparation of enzymes and virus proteins in a pure form"""
53,1946,Wendell Meredith Stanley (1904-1971),United States,"""for their preparation of enzymes and virus proteins in a pure form"""
56,1949,William Francis Giauque (1895-1982),United States,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures"""
59,1951,Edwin Mattison McMillan (1907-1991),United States,"""for their discoveries in the chemistry of transuranium elements"""
60,1951,Glenn Theodore Seaborg (1912-1999),United States,"""for their discoveries in the chemistry of transuranium elements"""
64,1954,Linus Pauling (1901-1994),United States,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances"""
65,1955,Vincent du Vigneaud (1901-1978),United States,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone"""
71,1960,Willard Frank Libby (1908-1980),United States,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"""
72,1961,Melvin Calvin (1911-1997),United States,"""for his research on the carbon dioxide assimilation in plants"""
78,1965,Robert Burns Woodward (1917-1979),United States,"""for his outstanding achievements in the art of organic synthesis"""
79,1966,Robert S. Mulliken (1896-1986),United States,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"""
88,1972,Christian B. Anfinsen (1916-1995),United States,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"""
89,1972,Stanford Moore (1913-1982),United States,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"""
90,1972,William H. Stein (1911-1980),United States,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"""
93,1974,Paul J. Flory (1910-1985),United States,"""for his fundamental work, both theoretical and experimental, in the physical chemistry of macromolecules"""
96,1976,William N. Lipscomb (1919-2011),United States,"""for his studies on the structure of boranes illuminating problems of chemical bonding"""
99,1979,Herbert C. Brown (1912-2004),United States,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"""
101,1980,Paul Berg (b. 1926),United States,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA"""
102,1980,Walter Gilbert (b. 1932),United States,"""for their contributions concerning the determination of base sequences in nucleic acids"""
107,1983,Henry Taube (1915-2005),United States,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes"""
108,1984,Robert Bruce Merrifield (1921-2006),United States,"""for his development of methodology for chemical synthesis on a solid matrix"""
109,1985,Herbert A. Hauptman (1917-2011),United States,"""for their outstanding achievements in developing direct methods for the determination of crystal structures"""
110,1985,Jerome Karle (1918-2013),United States,"""for their outstanding achievements in developing direct methods for the determination of crystal structures"""
111,1986,Dudley R. Herschbach (b. 1932),United States,"""for their contributions concerning the dynamics of chemical elementary processes"""
114,1987,Donald J. Cram (1919-2001),United States,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
116,1987,Charles J. Pedersen (1904-1989),United States,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
121,1989,Thomas Cech (b. 1947),United States,"""for their discovery of catalytic properties of RNA"""
122,1990,Elias James Corey (b. 1928),United States,"""for his development of the theory and methodology of organic synthesis"""
125,1993,Kary B. Mullis (1944-2019),United States,"""for contributions to the developments of methods within DNA-based chemistry [...] for his invention of the polymerase chain reaction (PCR) method"""
130,1995,Frank Sherwood Rowland(1927-2012),United States,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"""
131,1996,Robert F. Curl Jr. (1933-2022),United States,"""for their discovery of fullerenes"""
133,1996,Richard E. Smalley(1943-2005),United States,"""for their discovery of fullerenes"""
134,1997,Paul D. Boyer (1918-2018),United States,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"""
137,1998,Walter Kohn (1923-2016),United States,"""for his development of the density-functional theory"""
140,2000,Alan J. Heeger (b. 1936),United States,"""for their discovery and development of conductive polymers"""
143,2001,William S. Knowles (1917-2012),United States,"""for their work on chirally catalysed hydrogenation reactions"""
145,2001,K. Barry Sharpless (b. 1941),United States,"""for his work on chirally catalysed oxidation reactions"""
146,2002,John B. Fenn (1917-2010),United States,"""for the development of methods for identification and structure analyses of biological macromolecules [...] for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"""
149,2003,Peter Agre (b. 1949),United States,"""for discoveries concerning channels in cell membranes [...] for the discovery of water channels"""
150,2003,Roderick MacKinnon (b. 1956),United States,"""for discoveries concerning channels in cell membranes [...] for structural and mechanistic studies of ion channels"""
153,2004,Irwin Rose (1926-2015),United States,"""for the discovery of ubiquitin-mediated protein degradation"""
155,2005,Robert H. Grubbs (1942-2021),United States,"""for the development of the metathesis method in organic synthesis"""
156,2005,Richard R. Schrock (b. 1945),United States,"""for the development of the metathesis method in organic synthesis"""
157,2006,Roger D. Kornberg (b. 1947),United States,"""for his studies of the molecular basis of eukaryotic transcription"""
160,2008,Martin Chalfie (b. 1947),United States,"""for the discovery and development of the green fluorescent protein, GFP"""
161,2008,Roger Y. Tsien (1952-2016),United States,"""for the discovery and development of the green fluorescent protein, GFP"""
163,2009,Thomas A. Steitz (1940-2018),United States,"""for studies of the structure and function of the ribosome"""
165,2010,Richard F. Heck (1931-2015),United States,"""for palladium-catalyzed cross couplings in organic synthesis"""
169,2012,Robert Lefkowitz (b. 1943),United States,"""for studies of G-protein-coupled receptors"""
170,2012,Brian Kobilka (b. 1955),United States,"""for studies of G-protein-coupled receptors"""
174,2014,Eric Betzig (b. 1960),United States,"""for the development of super-resolved fluorescence microscopy"""
176,2014,William E. Moerner (b. 1953),United States,"""for the development of super-resolved fluorescence microscopy"""
178,2015,Paul L. Modrich (b. 1946),United States,"""for mechanistic studies of DNA repair"""
186,2018,Frances Arnold (b. 1956),United States,"""for the directed evolution of enzymes"""
187,2018,George Smith (b. 1941),United States,"""for the phage display of peptides and antibodies"""
189,2019,John B. Goodenough (b. 1922),United States,"""for the development of lithium ion batteries"""
193,2020,Jennifer Doudna (b. 1964),United States,"""for the development of a method for genome editing"""
196,2022,Carolyn R. Bertozzi (b. 1966),United States,"""for the development of click chemistry and bioorthogonal chemistry"""
198,2022,K. Barry Sharpless (b. 1941),United States,"""for the development of click chemistry and bioorthogonal chemistry"""
171,2013,Martin Karplus (b. 1930),United States,"""for the development of multiscale models for complex chemical systems"""
124,1992,Rudolph A. Marcus (b. 1923),United States,"""for his contributions to the theory of electron transfer reactions in chemical systems"""
139,1999,Ahmed Zewail (1946-2016),United States,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy"""
127,1994,George A. Olah (1927-2017),United States,"""for his contribution to carbocation chemistry"""
162,2009,Venkatraman Ramakrishnan (b. 1952),United States,"""for studies of the structure and function of the ribosome"""
173,2013,Arieh Warshel (b. 1940),United States,"""for the development of multiscale models for complex chemical systems"""
141,2000,Alan G. MacDiarmid (1927-2007),United States,"""for their discovery and development of conductive polymers"""
83,1968,Lars Onsager (1903-1976),United States,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes"""
105,1981,Roald Hoffmann (b. 1937),United States,"""for their theories, developed independently, concerning the course of chemical reactions"""
112,1986,Yuan T. Lee (b. 1936),United States,"""for their contributions concerning the dynamics of chemical elementary processes"""
179,2015,Aziz Sancar (b. 1946),United States,"""for mechanistic studies of DNA repair"""
172,2013,Michael Levitt (b. 1947),United States,"""for the development of multiscale models for complex chemical systems"""
57,1950,Otto Paul Hermann Diels (1876-1954),Germany,"""for their discovery and development of the diene synthesis"""
58,1950,Kurt Alder (1902-1958),Germany,"""for their discovery and development of the diene synthesis"""
63,1953,Hermann Staudinger (1881-1965),Germany,"""for his discoveries in the field of macromolecular chemistry"""
75,1963,Karl Ziegler (1898-1973),Germany,"""for their discoveries in the field of the chemistry and technology of high polymers"""
80,1967,Manfred Eigen (1927-2019),Germany,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
91,1973,Ernst Otto Fischer (1918-2007),Germany,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"""
100,1979,Georg Wittig(1897-1987),Germany,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"""
117,1988,Johann Deisenhofer (b. 1943),Germany,"""for their determination of the three-dimensional structure of a photosynthetic reaction centre"""
118,1988,Robert Huber (b. 1937),Germany,"""for their determination of the three-dimensional structure of a photosynthetic reaction centre"""
119,1988,Hartmut Michel (b. 1948),Germany,"""for their determination of the three-dimensional structure of a photosynthetic reaction centre"""
95,1975,Vladimir Prelog (1906-1998),Yugoslavia,"""for his research into the stereochemistry of organic molecules and reactions"""
